zona_eleitoral,codigo_zona_eleitoral,estado,municipio,codigo_municipio
0011,11,AP,SERRA DO NAVIO,06106
0008,8,AP,TARTARUGALZINHO,06173
0007,7,AP,VITÓRIA DO JARI,06122
0060,60,AM,ALVARÃES,02895
0022,22,AM,AMATURÁ,02917
0006,6,AM,ANAMÃ,02933
0033,33,AM,ANORI,02038
0067,67,AM,APUÍ,02003
0042,42,AM,ATALAIA DO NORTE,02054
0035,35,AM,AUTAZES,02070
0018,18,AM,BARCELOS,02097
0026,26,AM,BARREIRINHA,02119
0020,20,AM,BENJAMIN CONSTANT,02135
0054,54,AM,BERURI,02950
0005,5,AM,BOA VISTA DO RAMOS,02976
0014,14,AM,BOCA DO ACRE,02151
0015,15,AM,BORBA,02178
0006,6,AM,CAAPIRANGA,02992
0013,13,AM,CANUTAMA,02194
0021,21,AM,CARAUARI,02216
0023,23,AM,CAREIRO,02232
0031,31,AM,CAREIRO DA VÁRZEA,02046
0008,8,AM,COARI,02259
0007,7,AM,CODAJÁS,02275
0011,11,AM,EIRUNEPÉ,02291
0046,46,AM,ENVIRA,02313
0010,10,AM,FONTE BOA,02330
0045,45,AM,GUAJARÁ,02020
0017,17,AM,HUMAITÁ,02356
0045,45,AM,IPIXUNA,02399
0056,56,AM,IRANDUBA,98353
0003,3,AM,ITACOATIARA,02410
0069,69,AM,ITAMARATI,98370
0024,24,AM,ITAPIRANGA,02437
0048,48,AM,JAPURÁ,02453
0050,50,AM,JURUÁ,02470
0041,41,AM,JUTAÍ,02496
0012,12,AM,LÁBREA,02518
0006,6,AM,MANACAPURU,02534
0023,23,AM,MANAQUIRI,98396
0062,62,AM,MANAUS,02550
0002,2,AM,MANAUS,02550
0037,37,AM,MANAUS,02550
0063,63,AM,MANAUS,02550
0065,65,AM,MANAUS,02550
0040,40,AM,MANAUS,02550
0032,32,AM,MANAUS,02550
0068,68,AM,MANAUS,02550
0058,58,AM,MANAUS,02550
0059,59,AM,MANAUS,02550
0070,70,AM,MANAUS,02550
0001,1,AM,MANAUS,02550
0031,31,AM,MANAUS,02550
0016,16,AM,MANICORÉ,02577
0049,49,AM,MARAÃ,02593
0005,5,AM,MAUÉS,02615
0043,43,AM,NHAMUNDÁ,02631
0035,35,AM,NOVA OLINDA DO NORTE,02658
0034,34,AM,NOVO AIRÃO,02011
0029,29,AM,NOVO ARIPUANÃ,02674
0004,4,AM,PARINTINS,02690
0044,44,AM,PAUINI,02712
0051,51,AM,PRESIDENTE FIGUEIREDO,98418
0068,68,AM,RIO PRETO DA EVA,98434
0030,30,AM,SANTA ISABEL DO RIO NEGRO,02372
0047,47,AM,SANTO ANTÔNIO DO IÇÁ,02739
0024,24,AM,SILVES,02771
0019,19,AM,SÃO GABRIEL DA CACHOEIRA,02836
0022,22,AM,SÃO PAULO DE OLIVENÇA,02755
0027,27,AM,SÃO SEBASTIÃO DO UATUMÃ,98450
0036,36,AM,TABATINGA,98477
0038,38,AM,TAPAUÁ,02798
0009,9,AM,TEFÉ,02810
0047,47,AM,TONANTINS,98515
0060,60,AM,UARINI,98493
0027,27,AM,URUCARÁ,02852
0003,3,AM,URUCURITUBA,02879
0158,158,BA,ABARÉ,33030
0105,105,BA,ABAÍRA,33014
0021,21,BA,ACAJUTIBA,33057
0052,52,BA,ADUSTINA,33065
0147,147,BA,AIQUARA,33111
0163,163,BA,ALAGOINHAS,33138
0112,112,BA,ALCOBAÇA,33154
0135,135,BA,ALMADINA,33170
0036,36,BA,AMARGOSA,33197
0192,192,BA,AMÉLIA RODRIGUES,33219
0199,199,BA,AMÉRICA DOURADA,30716
0161,161,BA,ANAGÉ,33235
0119,119,BA,ANDARAÍ,33251
0045,45,BA,ANDORINHA,33260
0126,126,BA,ANGICAL,33278
0157,157,BA,ANGUERA,33294
0082,82,BA,ANTAS,33316
0143,143,BA,ANTÔNIO CARDOSO,33332
0053,53,BA,ANTÔNIO GONÇALVES,33359
0044,44,BA,APORÁ,33375
0023,23,BA,APUAREMA,33405
0090,90,BA,ARACATU,33391
0123,123,BA,ARACI,33413
0163,163,BA,ARAMARI,33430
0166,166,BA,ARATACA,30732
0030,30,BA,ARATUÍPE,33456
0200,200,BA,ARAÇÁS,33383
0073,73,BA,AURELINO LEAL,33472
0126,126,BA,BAIANÓPOLIS,33499
0086,86,BA,BAIXA GRANDE,33510
0110,110,BA,BANZAÊ,33529
0077,77,BA,BARRA,33537
0169,169,BA,BARRA DA ESTIVA,33553
0139,139,BA,BARRA DO CHOÇA,33570
0176,176,BA,BARRA DO MENDES,33596
0134,134,BA,BARRA DO ROCHA,33618
0070,70,BA,BARREIRAS,33634
0075,75,BA,BARREIRAS,33634
0174,174,BA,BARRO ALTO,30759
0136,136,BA,BARRO PRETO,33650
0150,150,BA,BARROCAS,30775
0034,34,BA,BELMONTE,33677
0177,177,BA,BELO CAMPO,33693
0150,150,BA,BIRITINGA,33715
0059,59,BA,BOA NOVA,33731
0042,42,BA,BOA VISTA DO TUPIM,33758
0071,71,BA,BOM JESUS DA LAPA,33774
0059,59,BA,BOM JESUS DA SERRA,33782
0105,105,BA,BONINAL,33790
0069,69,BA,BONITO,33804
0065,65,BA,BOQUIRA,33812
0168,168,BA,BOTUPORÃ,33839
0190,190,BA,BREJOLÂNDIA,33871
0036,36,BA,BREJÕES,33855
0094,94,BA,BROTAS DE MACAÚBAS,33898
0090,90,BA,BRUMADO,33910
0166,166,BA,BUERAREMA,33936
0077,77,BA,BURITIRAMA,30791
0201,201,BA,CAATIBA,33952
0131,131,BA,CABACEIRAS DO PARAGUAÇU,33960
0118,118,BA,CACHOEIRA,33979
0093,93,BA,CACULÉ,33995
0167,167,BA,CAEM,34010
0058,58,BA,CAETANOS,34029
0063,63,BA,CAETITÉ,34037
0055,55,BA,CAFARNAUM,34053
0031,31,BA,CAIRU,34070
0115,115,BA,CALDEIRÃO GRANDE,34096
0133,133,BA,CAMACÃ,34118
0078,78,BA,CAMAMU,34150
0170,170,BA,CAMAÇARI,34134
0171,171,BA,CAMAÇARI,34134
0067,67,BA,CAMPO ALEGRE DE LOURDES,34177
0053,53,BA,CAMPO FORMOSO,34193
0174,174,BA,CANARANA,34231
0116,116,BA,CANAVIEIRAS,34258
0114,114,BA,CANDEAL,34274
0127,127,BA,CANDEIAS,34290
0064,64,BA,CANDIBA,34312
0050,50,BA,CANSANÇÃO,34355
0083,83,BA,CANUDOS,30856
0099,99,BA,CANÁPOLIS,34215
0196,196,BA,CAPELA DO ALTO ALEGRE,30813
0191,191,BA,CAPIM GROSSO,30830
0112,112,BA,CARAVELAS,34371
0161,161,BA,CARAÍBAS,34363
0144,144,BA,CARDEAL DA SILVA,34398
0125,125,BA,CARINHANHA,34410
0066,66,BA,CASA NOVA,34436
0043,43,BA,CASTRO ALVES,34452
0100,100,BA,CATOLÂNDIA,34479
0129,129,BA,CATU,34495
0111,111,BA,CATURAMA,34509
0159,159,BA,CENTRAL,34517
0158,158,BA,CHORROCHÓ,34533
0079,79,BA,CIPÓ,34576
0135,135,BA,COARACI,34592
0061,61,BA,COCOS,34614
